"crop","serving_size"
"Peaches and nectarines","['peaches', 'nectarines']"
"Soybeans","['soybeans']"
"Onions, dry","['yellow onions', 'red onions']"
"Leeks, other alliaceous vegetables","['rosemont farms, belgian-style leeks']"
"Eggplants (aubergines)","['fresh eggplants']"
"Oats","['oats', 'rolled oats', 'steel cut oats']"
"Millet","['organic whole millet', 'whole grain millet', 'hulled millet']"
"Pears","['pears', 'sliced pears', '100% natural pears', 'diced pears', 'halved pears']"
"Grain, mixed","['bread collection organic multi grain', 'italian multi grain', 'hearth bakes lavash multi grain']"
"Coarse Grain, Total","['bread collection organic multi grain', 'italian multi grain', 'hearth bakes lavash multi grain']"
"Wheat","['fresh & easy, bulgar wheat', 'bite size shredded wheat', 'ziyad, all natural cracked wheat']"
"Cucumbers and gherkins","['mini cucumbers', 'fresh cucumbers']"
"Groundnuts, with shell","['peanuts']"
"Avocados","['hass avocados']"
"Lentils","['lentils']"
"Plums and sloes","['tops, angelino jumbo plums', 'fresh california plums', 'angelino jumbo plums']"
"Oil palm fruit","['west african red palm oil', 'nutiva, sunflower & red palm oil', 'red palm oil', 'unrefined red palm oil', 'international collection, red palm oil']"
"Figs","['jetton farms, turkish figs', ""heinen's, organic dried figs"", 'o organics, mission figs', 'fruit for snack dried green figs', 'amphora, organic soft dried calimyrna figs', 'nutra fig, golden california figs', 'galil, galil dried figs', 'dried mission figs', 'organic black mission figs', 'big win, dried figs', 'figs', 'black figs', 'cali natural, calimyrna figs', 'wegmans, organic golden figs', 'whole foods market, white figs', 'ziyad, turkish figs', 'sunny fruit, dried figs', 'aurora natural, organic turkish figs', 'wegmans, extra choice sierra figs', 'blue ribbon orchard choice, golden figs', 'pickled figs', ""nature's edibles, mission figs"", 'nutra fig, black mission figs', 'turkish figs', 'orchard choice, blue ribbon, mission figs', 'sun-maid, california mission figs', 'gold emblem abound, organic dried figs', 'black mission figs', 'italian mascarpone ice cream, balsamic glazed figs', 'dried california mission figs', 'fancy black mission figs', ""graul's market, organic turkish figs"", ""nature's eats, california figs"", 'sun dried figs', 'caramelized figs', 'mission figs', 'premium garland figs', 'setton farms, organic dried figs', 'extra choice sierra figs', 'calimyrna figs', 'nutra-fig, golden california figs', 'supervalu, dried mission figs', 'whole foods market, tena figs', 'trucco, dried figs', 'sun-maid, california calimyrna figs', 'turkish organic sun dried figs', 'galil, sun-dried figs', 'organic figs', 'organic turkish figs', 'golden california figs', 'jenny, kalamata crown figs', 'mt vikos, glazed & roasted figs', 'organic mission figs', 'made in nature, dried & unsulfured black mission figs', 'hand-dipped dark chocolate figs', 'blue ribbon, orchard choice, mission figs', 'organic dried figs', 'organic turkish mini figs', 'dried figs']"
"Pineapples","['pineapples', ""nature's harvest, dried pineapples"", 'premium pineapples', 'organic pineapples', 'gold pineapples']"
"Berries nes","['cranberries', 'blackberries', 'blueberries', 'raspberries', 'boysenberries', 'mixed berries']"
"Coconuts","['natural coconut', 'chopped coconut']"
"Peas, green","['peas']"
"Peas, dry","['peas']"
"Garlic","['fresh garlic']"
"Watermelons","['watermelon']"
"Anise, badian, fennel, coriander","['whole fennel', 'star anise']"
"Chick peas","['chickpeas', 'chick peas']"
"Strawberries","['strawberries']"
"Walnuts, with shell","['walnuts']"
"Persimmons","[]"
"Artichokes","['artichokes']"
"Rye","['marble rye', 'rye', 'german rye']"
"Pepper (piper spp.)","['whole black pepper']"
"Almonds, with shell","['almonds']"
"Maize, green","['corn']"
"Okra","['whole okra']"
"Taro (cocoyam)","['imperial mochi taro', 'pei tien food co, rice roll, taro', 'abc, jelly snack, taro', 'swiss roll taro']"
"Cashew nuts, with shell","['cashews']"
"Sesame seed","['sesame seeds']"
"Cashewapple","['cashew fruit in heavy syrup']"
"Nutmeg, mace and cardamoms","['ground nutmeg', 'whole nutmeg']"
"Dates","['dates']"
"Pigeon peas","['green pigeon peas']"
"Apricots","['apricots']"
"Quinces","['quinces']"
"Rapeseed","['rapeseed']"
"Oilseeds nes","['rapeseed']"
"Mustard seed","['taste elevated, sweet n tangy mustard seeds', 'taste elevated, habapeno mustard seeds']"
"Asparagus","['asparagus']"
"Cherries","['red tart cherries', 'dark sweet cherries']"
"Bambara beans","['bambara beans']"
"Pistachios","['pistachios']"
"Sunflower seed","['sunflower seeds']"
"Kiwi fruit","['kiwi fruit']"
"Ginger","['ginger']"
"Cinnamon (canella)","['ground cinnamon']"
"Brazil nuts, with shell","['brazil nuts']"
"Citrus Fruit,Total","['mandarins', 'key limes', 'mandarin oranges', 'persian limes', 'lemons', 'oranges']"
"Cocoa, beans","['100% ground cocoa beans']"
"Gooseberries","['organic gooseberries', 'cape gooseberries']"
"Coffee, green","['coffee beans']"
"Yautia (cocoyam)","['yautia']"
"Olives","['olives']"
"Currants","['organic currants', 'currants']"
"Sugar cane","['brown sugar cane']"
"Chestnut","['whole chestnuts']"
"Cherries, sour","['red tart cherries', 'tart cherries']"
"Raspberries","['raspberries']"
"Tea","['rooibos tea', 'green tea', 'oolong tea', 'white tea', 'black tea', 'herbal tea']"
"Cranberries","['cranberries']"
"Blueberries","['blueberries']"
"Vanilla","['vanilla bean', 'vanilla beans']"
"Pulses, Total","['lentils', 'garbanzo beans', 'peas', 'chickpeas']"
"Cow peas","['cow peas']"
"Hazelnuts","['chopped hazelnuts']"
